round,price_now,next_price,price_change_pct,scenario_pair_id,scenario_pair_name,news_sentiment,fundamental_signal,crowd_direction,crowd_strength,news_frame_type,news_salience,media_intensity,action,trade_size,size_level,size_pct,cash_before,shares_before,shares_after,shares_traded,cash_after,avg_cost_before,avg_cost_after,portfolio_value_start,portfolio_value_end,portfolio_value,portfolio_round_return,portfolio_return,round_return,total_return,unrealized_return,unrealized_return_before,unrealized_return_after,position_weight_after
1,100.0,106.2,0.062,G1,Overconfidence Setup Pair,positive,good,buy,2,neutral,2,2,hold,none,0,0.0,100000.0,0,0,0,100000.0,0.0,0.0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,106.2,110.24,0.038,G1,Overconfidence Setup Pair,positive,good,sell,4,neutral,3,3,hold,none,0,0.0,100000.0,0,0,0,100000.0,0.0,0.0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,110.24,107.26,-0.027,G2,Herding Scenario,positive,neutral,buy,5,neutral,4,4,buy,medium,2,0.5,100000.0,0,453,453,50061.28,0.0,110.24000000000001,100000.0,98650.06,98650.06,-0.013499400000000022,-0.013499400000000022,-0.013499400000000022,-0.013499400000000022,0.0,0.0,-0.02703193033381716,0.49253675061120084
4,107.26,99.32,-0.074,G3,Loss Aversion & Disposition Pair,negative,weak,sell,4,negative_spin,4,4,hold,none,0,0.0,50061.28,453,453,0,50061.28,110.24000000000001,110.24000000000001,98650.06,95053.23999999999,95053.23999999999,-0.03646039343513838,-0.04946760000000009,-0.03646039343513838,-0.04946760000000009,-0.02703193033381716,-0.02703193033381716,-0.09905660377358504,0.4733343124337477
5,99.32,102.4,0.031,G3,Loss Aversion & Disposition Pair,neutral,neutral,none,2,neutral,3,3,hold,none,0,0.0,50061.28,453,453,0,50061.28,110.24000000000001,110.24000000000001,95053.23999999999,96448.48000000001,96448.48000000001,0.01467851069569033,-0.03551519999999989,0.01467851069569033,-0.03551519999999989,-0.09905660377358504,-0.09905660377358504,-0.07111756168359945,0.48095314721393223
6,102.4,99.74,-0.026,G5,Availability Pair,positive,neutral,buy,4,positive_spin,5,5,hold,none,0,0.0,50061.28,453,453,0,50061.28,110.24000000000001,110.24000000000001,96448.48000000001,95243.5,95243.5,-0.01249350948817452,-0.047565,-0.01249350948817452,-0.047565,-0.07111756168359945,-0.07111756168359945,-0.09524673439767792,0.4743863885724485
7,99.74,102.03,0.023,G5,Availability Pair,negative,neutral,sell,5,negative_spin,5,5,buy,all_in,4,1.0,50061.28,453,954,501,91.54000000000087,110.24000000000001,104.72584905660376,95243.5,97428.16,97428.16,0.022937628289594603,-0.025718399999999964,0.022937628289594603,-0.025718399999999964,-0.09524673439767792,-0.09524673439767792,-0.025741964194023106,0.9990604359150372
8,102.03,99.58,-0.024,G4,Framing Scenario,positive,weak,buy,2,positive_spin,4,3,sell,all_in,4,1.0,91.54000000000087,954,0,954,97428.16,104.72584905660376,0.0,97428.16,97428.16,97428.16,0.0,-0.025718399999999964,0.0,-0.025718399999999964,-0.025741964194023106,-0.025741964194023106,0.0,0.0
