round,price_now,next_price,price_change_pct,scenario_pair_id,scenario_pair_name,news_sentiment,fundamental_signal,crowd_direction,crowd_strength,news_frame_type,news_salience,media_intensity,action,trade_size,size_level,size_pct,cash_before,shares_before,shares_after,shares_traded,cash_after,avg_cost_before,avg_cost_after,portfolio_value_start,portfolio_value_end,portfolio_value,portfolio_round_return,portfolio_return,round_return,total_return,unrealized_return,unrealized_return_before,unrealized_return_after,position_weight_after
1,100.0,106.2,0.062,G1,Overconfidence Setup Pair,positive,good,buy,2,neutral,2,2,buy,medium,2,0.5,100000.0,0,500,500,50000.0,0.0,100.0,100000.0,103100.0,103100.0,0.031,0.031,0.031,0.031,0.0,0.0,0.06200000000000003,0.5150339476236664
2,106.2,110.24,0.038,G1,Overconfidence Setup Pair,positive,good,sell,4,neutral,3,3,buy,small,1,0.25,50000.0,500,617,117,37574.6,100.0,101.17568881685575,103100.0,105592.68,105592.68,0.02417730358874872,0.05592679999999993,0.02417730358874872,0.05592679999999993,0.06200000000000003,0.06200000000000003,0.08958981440247074,0.6441552577318808
3,110.24,107.37,-0.026,G5,Availability Pair,positive,neutral,buy,4,positive_spin,5,5,hold,none,0,0.0,37574.6,617,617,0,37574.6,101.17568881685575,101.17568881685575,105592.68,103821.89000000001,103821.89000000001,-0.016770007163375143,0.03821890000000014,-0.016770007163375143,0.03821890000000014,0.08958981440247074,0.08958981440247074,0.06122331615015687,0.6380859566320745
4,107.37,109.84,0.023,G5,Availability Pair,negative,neutral,sell,5,negative_spin,5,5,hold,none,0,0.0,37574.6,617,617,0,37574.6,101.17568881685575,101.17568881685575,103821.89000000001,105345.88,105345.88,0.014678889008859216,0.05345880000000005,0.014678889008859216,0.05345880000000005,0.06122331615015687,0.06122331615015687,0.0856362954822877,0.6433215992879835
5,109.84,101.71,-0.074,G3,Loss Aversion & Disposition Pair,negative,weak,sell,4,negative_spin,4,4,hold,none,0,0.0,37574.6,617,617,0,37574.6,101.17568881685575,101.17568881685575,105345.88,100329.67,100329.67,-0.04761657503834043,0.0032966999999999827,-0.04761657503834043,0.0032966999999999827,0.0856362954822877,0.0856362954822877,0.005281023429565467,0.6254886515623943
6,101.71,104.86,0.031,G3,Loss Aversion & Disposition Pair,neutral,neutral,none,2,neutral,3,3,sell,small,1,0.25,37574.6,617,463,154,53237.939999999995,101.17568881685575,101.17568881685575,100329.67,101788.12,101788.12,0.014536577265728046,0.017881199999999955,0.014536577265728046,0.017881199999999955,0.005281023429565467,0.005281023429565467,0.03641498492600768,0.4769729512638607
7,104.86,102.03,-0.027,G2,Herding Scenario,positive,neutral,buy,5,neutral,4,4,buy,all_in,4,1.0,53237.939999999995,463,970,507,73.91999999999825,101.17568881685575,103.10140610536517,101788.12,99043.02,99043.02,-0.0269687660996194,-0.00956979999999996,-0.0269687660996194,-0.00956979999999996,0.03641498492600768,0.03641498492600768,-0.010391770062478486,0.9992536576530078
8,102.03,99.58,-0.024,G4,Framing Scenario,positive,weak,buy,2,positive_spin,4,3,sell,all_in,4,1.0,73.91999999999825,970,0,970,99043.02,103.10140610536517,0.0,99043.02,99043.02,99043.02,0.0,-0.00956979999999996,0.0,-0.00956979999999996,-0.010391770062478486,-0.010391770062478486,0.0,0.0
