round,price_now,next_price,price_change_pct,scenario_pair_id,scenario_pair_name,news_sentiment,fundamental_signal,crowd_direction,crowd_strength,news_frame_type,news_salience,media_intensity,action,trade_size,size_level,size_pct,cash_before,shares_before,shares_after,shares_traded,cash_after,avg_cost_before,avg_cost_after,portfolio_value_start,portfolio_value_end,portfolio_value,portfolio_round_return,portfolio_return,round_return,total_return,unrealized_return,unrealized_return_before,unrealized_return_after,position_weight_after
1,100.0,106.2,0.062,G1,Overconfidence Setup Pair,positive,good,buy,2,neutral,2,2,buy,small,1,0.25,100000.0,0,250,250,75000.0,0.0,100.0,100000.0,101550.0,101550.0,0.0155,0.0155,0.0155,0.0155,0.0,0.0,0.06200000000000003,0.2614475627769572
2,106.2,110.24,0.038,G1,Overconfidence Setup Pair,positive,good,sell,4,neutral,3,3,hold,none,0,0.0,75000.0,250,250,0,75000.0,100.0,100.0,101550.0,102560.0,102560.0,0.009945839487936977,0.0256,0.009945839487936977,0.0256,0.06200000000000003,0.06200000000000003,0.10239999999999995,0.26872074882995317
3,110.24,102.08,-0.074,G3,Loss Aversion & Disposition Pair,negative,weak,sell,4,negative_spin,4,4,buy,medium,2,0.5,75000.0,250,590,340,37518.4,100.0,105.90101694915253,102560.0,97745.6,97745.6,-0.046942277691107585,-0.022543999999999943,-0.046942277691107585,-0.022543999999999943,0.10239999999999995,0.10239999999999995,-0.03608102225295121,0.6161627735673012
4,102.08,105.24,0.031,G3,Loss Aversion & Disposition Pair,neutral,neutral,none,2,neutral,3,3,hold,none,0,0.0,37518.4,590,590,0,37518.4,105.90101694915253,105.90101694915253,97745.6,99610.0,99610.0,0.019074004354160127,-0.0039,0.019074004354160127,-0.0039,-0.03608102225295121,-0.03608102225295121,-0.006241837596988529,0.6233470535086838
5,105.24,102.5,-0.026,G5,Availability Pair,positive,neutral,buy,4,positive_spin,5,5,hold,none,0,0.0,37518.4,590,590,0,37518.4,105.90101694915253,105.90101694915253,99610.0,97993.4,97993.4,-0.016229294247565564,-0.02006600000000006,-0.016229294247565564,-0.02006600000000006,-0.006241837596988529,-0.006241837596988529,-0.0321150546720954,0.6171333987799179
6,102.5,104.86,0.023,G5,Availability Pair,negative,neutral,sell,5,negative_spin,5,5,buy,all_in,4,1.0,37518.4,590,956,366,3.400000000001455,105.90101694915253,104.59895397489541,97993.4,100249.56,100249.56,0.02302359138472595,0.0024955999999999767,0.02302359138472595,0.0024955999999999767,-0.0321150546720954,-0.0321150546720954,0.002495684853284899,0.9999660846391746
7,104.86,102.34,-0.024,G4,Framing Scenario,positive,weak,buy,2,positive_spin,4,3,sell,medium,2,0.5,3.400000000001455,956,478,478,50126.48,104.59895397489541,104.59895397489541,100249.56,99045.0,99045.0,-0.012015613834115558,-0.00955,-0.012015613834115558,-0.00955,0.002495684853284899,0.002495684853284899,-0.021596334275365434,0.4939019637538493
8,102.34,99.58,-0.027,G2,Herding Scenario,positive,neutral,buy,5,neutral,4,4,hold,none,0,0.0,50126.48,478,478,0,50126.48,104.59895397489541,104.59895397489541,99045.0,97725.72,97725.72,-0.01332000605785248,-0.022742799999999987,-0.01332000605785248,-0.022742799999999987,-0.021596334275365434,-0.021596334275365434,-0.04798283141626827,0.48706972944277105
