round,price_now,next_price,price_change_pct,scenario_pair_id,scenario_pair_name,news_sentiment,fundamental_signal,crowd_direction,crowd_strength,news_frame_type,news_salience,media_intensity,action,trade_size,size_level,size_pct,cash_before,shares_before,shares_after,shares_traded,cash_after,avg_cost_before,avg_cost_after,portfolio_value_start,portfolio_value_end,portfolio_value,portfolio_round_return,portfolio_return,round_return,total_return,unrealized_return,unrealized_return_before,unrealized_return_after,position_weight_after
1,100.0,106.2,0.062,G1,Overconfidence Setup Pair,positive,good,buy,2,neutral,2,2,buy,high,3,0.75,100000.0,0,750,750,25000.0,0.0,100.0,100000.0,104650.0,104650.0,0.0465,0.0465,0.0465,0.0465,0.0,0.0,0.06200000000000003,0.7611084567606307
2,106.2,110.24,0.038,G1,Overconfidence Setup Pair,positive,good,sell,4,neutral,3,3,buy,all_in,4,1.0,25000.0,750,985,235,43.0,100.0,101.47918781725889,104650.0,108629.4,108629.4,0.0380258002866698,0.08629399999999994,0.0380258002866698,0.08629399999999994,0.06200000000000003,0.06200000000000003,0.08633112238262441,0.9996041587268272
3,110.24,102.08,-0.074,G3,Loss Aversion & Disposition Pair,negative,weak,sell,4,negative_spin,4,4,hold,none,0,0.0,43.0,985,985,0,43.0,101.47918781725889,101.47918781725889,108629.4,100591.8,100591.8,-0.07399101900590441,0.005918000000000029,-0.07399101900590441,0.005918000000000029,0.08633112238262441,0.08633112238262441,0.0059205458347088465,0.999572529768828
4,102.08,105.24,0.031,G3,Loss Aversion & Disposition Pair,neutral,neutral,none,2,neutral,3,3,hold,none,0,0.0,43.0,985,985,0,43.0,101.47918781725889,101.47918781725889,100591.8,103704.4,103704.4,0.030942880035947175,0.037043999999999945,0.030942880035947175,0.037043999999999945,0.0059205458347088465,0.0059205458347088465,0.03705993577238201,0.999585359926869
5,105.24,102.71,-0.024,G4,Framing Scenario,positive,weak,buy,2,positive_spin,4,3,hold,none,0,0.0,43.0,985,985,0,43.0,101.47918781725889,101.47918781725889,103704.4,101212.34999999999,101212.34999999999,-0.02403032079641754,0.012123499999999912,-0.02403032079641754,0.012123499999999912,0.03705993577238201,0.03705993577238201,0.012128715347599343,0.9995751506609618
6,102.71,99.94,-0.027,G2,Herding Scenario,positive,neutral,buy,5,neutral,4,4,hold,none,0,0.0,43.0,985,985,0,43.0,101.47918781725889,101.47918781725889,101212.34999999999,98483.9,98483.9,-0.0269576785836906,-0.015161000000000058,-0.0269576785836906,-0.015161000000000058,0.012128715347599343,0.012128715347599343,-0.015167522034474907,0.9995633804104022
7,99.94,97.34,-0.026,G5,Availability Pair,positive,neutral,buy,4,positive_spin,5,5,hold,none,0,0.0,43.0,985,985,0,43.0,101.47918781725889,101.47918781725889,98483.9,95922.90000000001,95922.90000000001,-0.026004250440934868,-0.04077099999999991,-0.026004250440934868,-0.04077099999999991,-0.015167522034474907,-0.015167522034474907,-0.0407885390718009,0.9995517233111175
8,97.34,99.58,0.023,G5,Availability Pair,negative,neutral,sell,5,negative_spin,5,5,hold,none,0,0.0,43.0,985,985,0,43.0,101.47918781725889,101.47918781725889,95922.90000000001,98129.3,98129.3,0.023001806659306526,-0.01870699999999997,0.023001806659306526,-0.01870699999999997,-0.0407885390718009,-0.0407885390718009,-0.018715047470412353,0.9995618026420243
